,LotSize
"(1, 1, 1)",351.0
"(1, 1, 2)",441.0
"(1, 1, 3)",397.0
"(1, 1, 4)",429.0
"(1, 1, 5)",285.0
"(1, 2, 1)",25.0
"(1, 2, 2)",45.0
"(1, 2, 3)",33.0
"(1, 2, 4)",43.0
"(1, 2, 5)",59.0
"(1, 3, 1)",111.0
"(1, 3, 2)",261.0
"(1, 3, 3)",261.0
"(1, 3, 4)",261.0
"(1, 3, 5)",261.0
"(1, 4, 1)",0.0
"(1, 4, 2)",0.0
"(1, 4, 3)",3.0
"(1, 4, 4)",25.0
"(1, 4, 5)",25.0
"(2, 5, 1)",80.0
"(2, 5, 2)",162.0
"(2, 5, 3)",149.0
"(2, 5, 4)",167.0
"(2, 5, 5)",134.0
"(2, 6, 1)",84.0
"(2, 6, 2)",155.0
"(2, 6, 3)",151.0
"(2, 6, 4)",153.0
"(2, 6, 5)",130.0
"(2, 7, 1)",64.0
"(2, 7, 2)",127.0
"(2, 7, 3)",117.0
"(2, 7, 4)",135.0
"(2, 7, 5)",127.0
"(2, 8, 1)",8.0
"(2, 8, 2)",29.0
"(2, 8, 3)",24.0
"(2, 8, 4)",29.0
"(2, 8, 5)",29.0
"(6, 9, 1)",108.0
"(6, 9, 2)",174.0
"(6, 9, 3)",159.0
"(6, 9, 4)",157.0
"(6, 9, 5)",133.0
"(6, 10, 1)",85.0
"(6, 10, 2)",162.0
"(6, 10, 3)",151.0
"(6, 10, 4)",155.0
"(6, 10, 5)",135.0
"(6, 11, 1)",69.0
"(6, 11, 2)",156.0
"(6, 11, 3)",149.0
"(6, 11, 4)",147.0
"(6, 11, 5)",120.0
"(7, 12, 1)",11.0
"(7, 12, 2)",104.0
"(7, 12, 3)",107.0
"(7, 12, 4)",107.0
"(7, 12, 5)",94.0
"(7, 13, 1)",8.0
"(7, 13, 2)",50.0
"(7, 13, 3)",42.0
"(7, 13, 4)",52.0
"(7, 13, 5)",38.0
"(4, 14, 1)",95.0
"(4, 14, 2)",177.0
"(4, 14, 3)",167.0
"(4, 14, 4)",171.0
"(4, 14, 5)",147.0
"(4, 15, 1)",93.0
"(4, 15, 2)",177.0
"(4, 15, 3)",167.0
"(4, 15, 4)",170.0
"(4, 15, 5)",144.0
"(4, 16, 1)",77.0
"(4, 16, 2)",178.0
"(4, 16, 3)",152.0
"(4, 16, 4)",160.0
"(4, 16, 5)",142.0
"(4, 17, 1)",89.0
"(4, 17, 2)",170.0
"(4, 17, 3)",178.0
"(4, 17, 4)",163.0
"(4, 17, 5)",142.0
"(5, 18, 1)",98.0
"(5, 18, 2)",184.0
"(5, 18, 3)",165.0
"(5, 18, 4)",165.0
"(5, 18, 5)",133.0
"(5, 19, 1)",81.0
"(5, 19, 2)",158.0
"(5, 19, 3)",152.0
"(5, 19, 4)",159.0
"(5, 19, 5)",133.0
"(5, 20, 1)",65.0
"(5, 20, 2)",156.0
"(5, 20, 3)",153.0
"(5, 20, 4)",149.0
"(5, 20, 5)",123.0
"(3, 21, 1)",109.0
"(3, 21, 2)",174.0
"(3, 21, 3)",174.0
"(3, 21, 4)",199.0
"(3, 21, 5)",168.0
"(3, 22, 1)",63.0
"(3, 22, 2)",139.0
"(3, 22, 3)",134.0
"(3, 22, 4)",163.0
"(3, 22, 5)",133.0
